Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation
2020,MA,Massachusetts,Hampshire,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,31.1,,,29.7,32.7,161572,25015,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-72.6636936 42.3394593)
2021,MA,Massachusetts,Hampden,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,6.7,,,5.8,7.7,462718,25013,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-72.6356476 42.1361975)
2021,MA,Massachusetts,Norfolk,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,8.4,,,7.1,9.6,724505,25021,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-71.1811102 42.1717377)
2021,MA,Massachusetts,Hampden,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Age-adjusted prevalence,8.6,,,7.4,10.0,462718,25013,DISABLT,INDEPLIVE,AgeAdjPrv,Independent Living Disability,POINT (-72.6356476 42.1361975)
2021,MA,Massachusetts,Franklin,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,89.5,,,87.3,91.5,71015,25011,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,POINT (-72.5917921 42.5845038)
2021,MA,Massachusetts,Plymouth,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,3.7,,,3.1,4.4,533003,25023,DISABLT,VISION,CrdPrv,Vision Disability,POINT (-70.7419417 41.9871959)
2020,MA,Massachusetts,Middlesex,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,77.9,,,75.3,80.2,1614742,25017,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-71.3949161 42.4817182)
2021,MA,Massachusetts,Worcester,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,3.2,,,2.7,3.8,862029,25027,DISABLT,SELFCARE,CrdPrv,Self-care Disability,POINT (-71.940282 42.3116934)
2020,MA,Massachusetts,Bristol,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,34.3,,,32.7,35.8,580164,25005,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-71.088894 41.7485884)
2021,MA,Massachusetts,Franklin,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,7.7,,,6.4,9.1,71015,25011,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,POINT (-72.5917921 42.5845038)
2021,MA,Massachusetts,Hampshire,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,11.3,,,9.9,12.8,161572,25015,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,POINT (-72.6636936 42.3394593)
2020,MA,Massachusetts,Bristol,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,67.1,,,63.2,70.7,580164,25005,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-71.088894 41.7485884)
2021,MA,Massachusetts,Plymouth,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,2.5,,,2.2,2.8,533003,25023,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease,POINT (-70.7419417 41.9871959)
2021,MA,Massachusetts,Suffolk,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Age-adjusted prevalence,13.4,,,11.5,15.6,771245,25025,DISABLT,COGNITION,AgeAdjPrv,Cognitive Disability,POINT (-71.018253 42.3385513)
2021,MA,Massachusetts,Hampshire,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,24.8,,,21.9,28.4,161572,25015,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-72.6636936 42.3394593)
2020,MA,Massachusetts,Hampden,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,79.3,,,76.1,82.0,462718,25013,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-72.6356476 42.1361975)
2021,MA,Massachusetts,Barnstable,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.5,,,9.2,11.8,232411,25001,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,POINT (-70.1648227 41.7061233)
2020,MA,Massachusetts,Barnstable,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,7.5,,,4.2,11.4,232411,25001,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-70.1648227 41.7061233)
2021,MA,Massachusetts,Plymouth,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,20.6,,,17.6,24.0,533003,25023,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-70.7419417 41.9871959)
2021,MA,Massachusetts,Bristol,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Age-adjusted prevalence,6.2,,,5.5,7.1,580164,25005,DISABLT,HEARING,AgeAdjPrv,Hearing Disability,POINT (-71.088894 41.7485884)
2020,MA,Massachusetts,Middlesex,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,7.3,,,4.2,11.7,1614742,25017,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-71.3949161 42.4817182)
2021,MA,Massachusetts,Essex,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Age-adjusted prevalence,87.8,,,85.3,90.0,807074,25009,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening,POINT (-70.8649085 42.6427082)
2021,MA,Massachusetts,Franklin,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,28.1,,,21.8,34.6,71015,25011,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-72.5917921 42.5845038)
2020,MA,Massachusetts,Franklin,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,10.1,,,6.0,14.7,71015,25011,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-72.5917921 42.5845038)
2021,MA,Massachusetts,Worcester,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Age-adjusted prevalence,10.1,,,8.4,11.9,862029,25027,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability,POINT (-71.940282 42.3116934)
